"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Infected","Tp.Cage","Tp.ABX","Tp.Infect","ABX.Infect","Tp.ABX.Infect","NaturalMicro","InfectionStage","InfectStage2","InfectStageDepo","InfectStagePreUM","InfectStageDEM","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","DiseaseCINEndpointRanked","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus"
"13026","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-275",1,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_275_S280_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_275_S280_R2_001.fastq.gz","11-10-M6-1","LK16S004_275","Baseline","E3","11/10/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp9","Timepoint 9","9","14","None","Untouched","Tp9_Cage6","Tp9_None","Tp9_Untouched","None_Untouched","Tp9_None_Untouched","No","12 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"4890","512699b99a04e60a592db5b38aaa91d6","LK16S004-224",0.999436155447606,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_224_S228_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_224_S228_R2_001.fastq.gz","10-13-M8-5","LK16S004_224","Baseline","E3","10/13/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp7","Timepoint 7","7","10","None","Mock","Tp7_Cage8","Tp7_None","Tp7_Mock","None_Mock","Tp7_None_Mock","No","8 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemella"
"12957","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-055",0.998778066289904,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_055_S55_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_055_S55_R2_001.fastq.gz","08-12-M6-4","LK16S004_055","Baseline","E3","8/12/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp2","Timepoint 2","2","2","None","Untouched","Tp2_Cage6","Tp2_None","Tp2_Untouched","None_Untouched","Tp2_None_Untouched","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"12961","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-057",0.998275681889435,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_057_S57_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_057_S57_R2_001.fastq.gz","08-12-M7-2","LK16S004_057","Baseline","E3","8/12/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp2","Timepoint 2","2","2","None","Infected","Tp2_Cage7","Tp2_None","Tp2_Infected","None_Infected","Tp2_None_Infected","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN3","High","Persistent","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"12985","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-276",0.995305021188378,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_276_S281_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_276_S281_R2_001.fastq.gz","11-10-M6-2","LK16S004_276","Baseline","E3","11/10/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp9","Timepoint 9","9","14","None","Untouched","Tp9_Cage6","Tp9_None","Tp9_Untouched","None_Untouched","Tp9_None_Untouched","No","12 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"12934","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-015",0.994694960212202,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_015_S15_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_015_S15_R2_001.fastq.gz","07-28-M6-4","LK16S004_015","Baseline","E3","7/28/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp1","Timepoint 1","1","0","None","Untouched","Tp1_Cage6","Tp1_None","Tp1_Untouched","None_Untouched","Tp1_None_Untouched","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"12988","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-092",0.994173385910188,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_092_S92_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_092_S92_R2_001.fastq.gz","08-19-M08-2","LK16S004_092","Baseline","E3","8/19/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Mock","Tp3_Cage8","Tp3_None","Tp3_Mock","None_Mock","Tp3_None_Mock","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"4929","512699b99a04e60a592db5b38aaa91d6","LK16S004-285",0.987100893997446,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_285_S291_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_285_S291_R2_001.fastq.gz","11-10-M8-5","LK16S004_285","Baseline","E3","11/10/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp9","Timepoint 9","9","14","None","Mock","Tp9_Cage8","Tp9_None","Tp9_Mock","None_Mock","Tp9_None_Mock","No","12 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemella"
"12967","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-061",0.980494148244473,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_061_S61_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_061_S61_R2_001.fastq.gz","08-12-M08-3","LK16S004_061","Baseline","E3","8/12/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp2","Timepoint 2","2","2","None","Mock","Tp2_Cage8","Tp2_None","Tp2_Mock","None_Mock","Tp2_None_Mock","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"13048","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-063",0.978233675256442,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_063_S63_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_063_S63_R2_001.fastq.gz","08-12-M08-5","LK16S004_063","Baseline","E3","8/12/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp2","Timepoint 2","2","2","None","Mock","Tp2_Cage8","Tp2_None","Tp2_Mock","None_Mock","Tp2_None_Mock","Natural","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
