sample_id	forward-absolute-filepath	reverse-absolute-filepath	Mouse-ID	LK16Sid	ExName	Ex	LavageDate	MP	SampleOrigin	Cage	ExCage	ExCageTp	Timepoint	TimeP	Timepoint.wks	AntibioticTx	Infected	Tp.Cage	Tp.ABX	Tp.Infect	ABX.Infect	Tp.ABX.Infect	NaturalMicro	InfectionStage	InfectStage2	InfectStageDepo	InfectStagePreUM	InfectStageDEM	ViralCopyNumber	ViralCopyNumberHighLow	DiseaseCINEndpoint 	DiseaseCINEndpointRanked	Cleared.Persistent
LK16S004-001	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_001_S1_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_001_S1_R2_001.fastq.gz	07-28-M3-1	LK16S004_001	Baseline	E3	7/28/20	M3-1	Mouse	Cage3	E3_Cage3	E3_Cage3_Tp1	Timepoint 1	1	0	ABX	Mock	Tp1_Cage3	Tp1_ABX	Tp1_Mock	ABX_Mock	Tp1_ABX_Mock	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-002	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_002_S2_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_002_S2_R2_001.fastq.gz	07-28-M3-2	LK16S004_002	Baseline	E3	7/28/20	M3-2	Mouse	Cage3	E3_Cage3	E3_Cage3_Tp1	Timepoint 1	1	0	ABX	Mock	Tp1_Cage3	Tp1_ABX	Tp1_Mock	ABX_Mock	Tp1_ABX_Mock	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-003	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_003_S3_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_003_S3_R2_001.fastq.gz	07-28-M3-3	LK16S004_003	Baseline	E3	7/28/20	M3-3	Mouse	Cage3	E3_Cage3	E3_Cage3_Tp1	Timepoint 1	1	0	ABX	Mock	Tp1_Cage3	Tp1_ABX	Tp1_Mock	ABX_Mock	Tp1_ABX_Mock	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-004	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_004_S4_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_004_S4_R2_001.fastq.gz	07-28-M4-1	LK16S004_004	Baseline	E3	7/28/20	M4-1	Mouse	Cage4	E3_Cage4	E3_Cage4_Tp1	Timepoint 1	1	0	ABX	Infected	Tp1_Cage4	Tp1_ABX	Tp1_Infected	ABX_Infected	Tp1_ABX_Infected	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection			CIN3	High	
LK16S004-005	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_005_S5_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_005_S5_R2_001.fastq.gz	07-28-M4-2	LK16S004_005	Baseline	E3	7/28/20	M4-2	Mouse	Cage4	E3_Cage4	E3_Cage4_Tp1	Timepoint 1	1	0	ABX	Infected	Tp1_Cage4	Tp1_ABX	Tp1_Infected	ABX_Infected	Tp1_ABX_Infected	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection			CIN3	High 	
LK16S004-006	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_006_S6_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_006_S6_R2_001.fastq.gz	07-28-M4-3	LK16S004_006	Baseline	E3	7/28/20	M4-3	Mouse	Cage4	E3_Cage4	E3_Cage4_Tp1	Timepoint 1	1	0	ABX	Infected	Tp1_Cage4	Tp1_ABX	Tp1_Infected	ABX_Infected	Tp1_ABX_Infected	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection			CIN2	Low	
LK16S004-007	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_007_S7_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_007_S7_R2_001.fastq.gz	07-28-M5-1	LK16S004_007	Baseline	E3	7/28/20	M5-1	Mouse	Cage5	E3_Cage5	E3_Cage5_Tp1	Timepoint 1	1	0	ABX	Untouched	Tp1_Cage5	Tp1_ABX	Tp1_Untouched	ABX_Untouched	Tp1_ABX_Untouched	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-008	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_008_S8_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_008_S8_R2_001.fastq.gz	07-28-M5-2	LK16S004_008	Baseline	E3	7/28/20	M5-2	Mouse	Cage5	E3_Cage5	E3_Cage5_Tp1	Timepoint 1	1	0	ABX	Untouched	Tp1_Cage5	Tp1_ABX	Tp1_Untouched	ABX_Untouched	Tp1_ABX_Untouched	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-009	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_009_S9_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_009_S9_R2_001.fastq.gz	07-28-M5-3	LK16S004_009	Baseline	E3	7/28/20	M5-3	Mouse	Cage5	E3_Cage5	E3_Cage5_Tp1	Timepoint 1	1	0	ABX	Untouched	Tp1_Cage5	Tp1_ABX	Tp1_Untouched	ABX_Untouched	Tp1_ABX_Untouched	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-010	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_010_S10_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_010_S10_R2_001.fastq.gz	07-28-M5-4	LK16S004_010	Baseline	E3	7/28/20	M5-4	Mouse	Cage5	E3_Cage5	E3_Cage5_Tp1	Timepoint 1	1	0	ABX	Untouched	Tp1_Cage5	Tp1_ABX	Tp1_Untouched	ABX_Untouched	Tp1_ABX_Untouched	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-011	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_011_S11_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_011_S11_R2_001.fastq.gz	07-28-M5-5	LK16S004_011	Baseline	E3	7/28/20	M5-5	Mouse	Cage5	E3_Cage5	E3_Cage5_Tp1	Timepoint 1	1	0	ABX	Untouched	Tp1_Cage5	Tp1_ABX	Tp1_Untouched	ABX_Untouched	Tp1_ABX_Untouched	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-012	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_012_S12_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_012_S12_R2_001.fastq.gz	07-28-M6-1	LK16S004_012	Baseline	E3	7/28/20	M6-1	Mouse	Cage6	E3_Cage6	E3_Cage6_Tp1	Timepoint 1	1	0	None	Untouched	Tp1_Cage6	Tp1_None	Tp1_Untouched	None_Untouched	Tp1_None_Untouched	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-013	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_013_S13_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_013_S13_R2_001.fastq.gz	07-28-M6-2	LK16S004_013	Baseline	E3	7/28/20	M6-2	Mouse	Cage6	E3_Cage6	E3_Cage6_Tp1	Timepoint 1	1	0	None	Untouched	Tp1_Cage6	Tp1_None	Tp1_Untouched	None_Untouched	Tp1_None_Untouched	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-014	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_014_S14_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_014_S14_R2_001.fastq.gz	07-28-M6-3	LK16S004_014	Baseline	E3	7/28/20	M6-3	Mouse	Cage6	E3_Cage6	E3_Cage6_Tp1	Timepoint 1	1	0	None	Untouched	Tp1_Cage6	Tp1_None	Tp1_Untouched	None_Untouched	Tp1_None_Untouched	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-015	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_015_S15_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_015_S15_R2_001.fastq.gz	07-28-M6-4	LK16S004_015	Baseline	E3	7/28/20	M6-4	Mouse	Cage6	E3_Cage6	E3_Cage6_Tp1	Timepoint 1	1	0	None	Untouched	Tp1_Cage6	Tp1_None	Tp1_Untouched	None_Untouched	Tp1_None_Untouched	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-016	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_016_S16_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_016_S16_R2_001.fastq.gz	07-28-M07-1	LK16S004_016	Baseline	E3	7/28/20	M7-1	Mouse	Cage7	E3_Cage7	E3_Cage7_Tp1	Timepoint 1	1	0	None	Infected	Tp1_Cage7	Tp1_None	Tp1_Infected	None_Infected	Tp1_None_Infected	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-017	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_017_S17_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_017_S17_R2_001.fastq.gz	07-28-M07-2	LK16S004_017	Baseline	E3	7/28/20	M7-2	Mouse	Cage7	E3_Cage7	E3_Cage7_Tp1	Timepoint 1	1	0	None	Infected	Tp1_Cage7	Tp1_None	Tp1_Infected	None_Infected	Tp1_None_Infected	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection			CIN3	High	Persistent
LK16S004-018	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_018_S18_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_018_S18_R2_001.fastq.gz	07-28-M07-3	LK16S004_018	Baseline	E3	7/28/20	M7-3	Mouse	Cage7	E3_Cage7	E3_Cage7_Tp1	Timepoint 1	1	0	None	Infected	Tp1_Cage7	Tp1_None	Tp1_Infected	None_Infected	Tp1_None_Infected	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection			CIN2	Low	Persistent
LK16S004-019	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_019_S19_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_019_S19_R2_001.fastq.gz	07-28-M8-1	LK16S004_019	Baseline	E3	7/28/20	M8-1	Mouse	Cage8	E3_Cage8	E3_Cage8_Tp1	Timepoint 1	1	0	None	Mock	Tp1_Cage8	Tp1_None	Tp1_Mock	None_Mock	Tp1_None_Mock	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-020	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_020_S20_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_020_S20_R2_001.fastq.gz	07-28-M8-2	LK16S004_020	Baseline	E3	7/28/20	M8-2	Mouse	Cage8	E3_Cage8	E3_Cage8_Tp1	Timepoint 1	1	0	None	Mock	Tp1_Cage8	Tp1_None	Tp1_Mock	None_Mock	Tp1_None_Mock	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-021	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_021_S21_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_021_S21_R2_001.fastq.gz	07-28-M8-3	LK16S004_021	Baseline	E3	7/28/20	M8-3	Mouse	Cage8	E3_Cage8	E3_Cage8_Tp1	Timepoint 1	1	0	None	Mock	Tp1_Cage8	Tp1_None	Tp1_Mock	None_Mock	Tp1_None_Mock	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-022	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_022_S22_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_022_S22_R2_001.fastq.gz	07-28-M8-4	LK16S004_022	Baseline	E3	7/28/20	M8-4	Mouse	Cage8	E3_Cage8	E3_Cage8_Tp1	Timepoint 1	1	0	None	Mock	Tp1_Cage8	Tp1_None	Tp1_Mock	None_Mock	Tp1_None_Mock	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-023	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_023_S23_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_023_S23_R2_001.fastq.gz	07-28-M8-5	LK16S004_023	Baseline	E3	7/28/20	M8-5	Mouse	Cage8	E3_Cage8	E3_Cage8_Tp1	Timepoint 1	1	0	None	Mock	Tp1_Cage8	Tp1_None	Tp1_Mock	None_Mock	Tp1_None_Mock	Natural	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-024	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_024_S24_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_024_S24_R2_001.fastq.gz	07-28-M9-1	LK16S004_024	Baseline	E3	7/28/20	M9-1	Mouse	Cage9	E3_Cage9	E3_Cage9_Tp1	Timepoint 1	1	0	ABX	Mock	Tp1_Cage9	Tp1_ABX	Tp1_Mock	ABX_Mock	Tp1_ABX_Mock	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-025	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_025_S25_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_025_S25_R2_001.fastq.gz	07-28-M9-2	LK16S004_025	Baseline	E3	7/28/20	M9-2	Mouse	Cage9	E3_Cage9	E3_Cage9_Tp1	Timepoint 1	1	0	ABX	Mock	Tp1_Cage9	Tp1_ABX	Tp1_Mock	ABX_Mock	Tp1_ABX_Mock	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-026	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_026_S26_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_026_S26_R2_001.fastq.gz	07-28-M9-3	LK16S004_026	Baseline	E3	7/28/20	M9-3	Mouse	Cage9	E3_Cage9	E3_Cage9_Tp1	Timepoint 1	1	0	ABX	Mock	Tp1_Cage9	Tp1_ABX	Tp1_Mock	ABX_Mock	Tp1_ABX_Mock	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-027	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_027_S27_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_027_S27_R2_001.fastq.gz	07-28-M10-1	LK16S004_027	Baseline	E3	7/28/20	M10-1	Mouse	Cage10	E3_Cage10	E3_Cage10_Tp1	Timepoint 1	1	0	ABX	Infected	Tp1_Cage10	Tp1_ABX	Tp1_Infected	ABX_Infected	Tp1_ABX_Infected	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
LK16S004-028	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_028_S28_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_028_S28_R2_001.fastq.gz	07-28-M10-2	LK16S004_028	Baseline	E3	7/28/20	M10-2	Mouse	Cage10	E3_Cage10	E3_Cage10_Tp1	Timepoint 1	1	0	ABX	Infected	Tp1_Cage10	Tp1_ABX	Tp1_Infected	ABX_Infected	Tp1_ABX_Infected	No	Day of Abx Start (2wk pre-infection; all essentially untouched mice)	Pre-Infection	Pre-Infection	Pre-Infection	Pre-Infection					
