sample-id	forward-absolute-filepath	reverse-absolute-filepath	Mouse-ID	LK16Sid	ExName	Ex	LavageDate	MP	SampleOrigin	Cage	ExCage	ExCageTp	Timepoint	TimeP	Timepoint.wks	AntibioticTx	Tp.Cage	Tp.ABX	NaturalMicro	Infected	InfectStage2	InfectStageDepo	InfectStageDEM	InfectStage	ViralCopyNumber	ViralCopyNumberHighLow	DiseaseCINEndpoint 	DiseaseEndpointRanked	Cleared/PersistentAtEndpoint
LKMB005_001	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_001_S1_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_001_S1_R2_001.fastq.gz	07-21--MP1-1	LKMB005_001	Pilot	E2	21-Jul	MP1-1	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage1	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Cleared
LKMB005_002	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_002_S2_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_002_S2_R2_001.fastq.gz	07-21--MP1-2	LKMB005_002	Pilot	E2	21-Jul	MP1-2	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage1	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Cleared
LKMB005_003	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_003_S3_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_003_S3_R2_001.fastq.gz	07-21--MP1-3	LKMB005_003	Pilot	E2	21-Jul	MP1-3	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage1	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Close to cleared
LKMB005_004	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_004_S4_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_004_S4_R2_001.fastq.gz	07-21--MP1-4	LKMB005_004	Pilot	E2	21-Jul	MP1-4	Mouse	Cage1	E2_Cage1	E2_Cage1_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage1	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Close to cleared
LKMB005_005	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_005_S5_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_005_S5_R2_001.fastq.gz	07-21--MP2-1	LKMB005_005	Pilot	E2	21-Jul	MP2-1	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage2	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Cleared 
LKMB005_006	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_006_S6_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_006_S6_R2_001.fastq.gz	07-21--MP2-2	LKMB005_006	Pilot	E2	21-Jul	MP2-2	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage2	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Persistent
LKMB005_007	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_007_S7_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_007_S7_R2_001.fastq.gz	07-21--MP2-3	LKMB005_007	Pilot	E2	21-Jul	MP2-3	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage2	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_008	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_008_S8_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_008_S8_R2_001.fastq.gz	07-21--MP2-4	LKMB005_008	Pilot	E2	21-Jul	MP2-4	Mouse	Cage2	E2_Cage2	E2_Cage2_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage2	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_009	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_009_S9_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_009_S9_R2_001.fastq.gz	07-21--MP3-1	LKMB005_009	Pilot	E2	21-Jul	MP3-1	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage3	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Persistent
LKMB005_010	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_010_S10_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_010_S10_R2_001.fastq.gz	07-21--MP3-2	LKMB005_010	Pilot	E2	21-Jul	MP3-2	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage3	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_011	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_011_S11_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_011_S11_R2_001.fastq.gz	07-21--MP3-3	LKMB005_011	Pilot	E2	21-Jul	MP3-3	Mouse	Cage3	E2_Cage3	E2_Cage3_Tp1	Timepoint 1	1	0	ABX	Tp1_Cage3	Tp1_ABX	No	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_012	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_012_S12_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_012_S12_R2_001.fastq.gz	07-21--MP4-1	LKMB005_012	Pilot	E2	21-Jul	MP4-1	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp1	Timepoint 1	1	0	None	Tp1_Cage4	Tp1_None	Natural	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_013	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_013_S13_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_013_S13_R2_001.fastq.gz	07-21--MP4-2	LKMB005_013	Pilot	E2	21-Jul	MP4-2	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp1	Timepoint 1	1	0	None	Tp1_Cage4	Tp1_None	Natural	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_014	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_014_S14_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_014_S14_R2_001.fastq.gz	07-21--MP4-3	LKMB005_014	Pilot	E2	21-Jul	MP4-3	Mouse	Cage4	E2_Cage4	E2_Cage4_Tp1	Timepoint 1	1	0	None	Tp1_Cage4	Tp1_None	Natural	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_015	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_015_S15_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_015_S15_R2_001.fastq.gz	07-21--MP5-1	LKMB005_015	Pilot	E2	21-Jul	MP5-1	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp1	Timepoint 1	1	0	None	Tp1_Cage5	Tp1_None	Natural	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_016	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_016_S16_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_016_S16_R2_001.fastq.gz	07-21--MP5-2	LKMB005_016	Pilot	E2	21-Jul	MP5-2	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp1	Timepoint 1	1	0	None	Tp1_Cage5	Tp1_None	Natural	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	No Tissue	Unknown
LKMB005_017	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_017_S17_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_017_S17_R2_001.fastq.gz	07-21--MP5-3	LKMB005_017	Pilot	E2	21-Jul	MP5-3	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp1	Timepoint 1	1	0	None	Tp1_Cage5	Tp1_None	Natural	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	Cancer	Persistent
LKMB005_018	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_018_S18_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_018_S18_R2_001.fastq.gz	07-21--MP5-4	LKMB005_018	Pilot	E2	21-Jul	MP5-4	Mouse	Cage5	E2_Cage5	E2_Cage5_Tp1	Timepoint 1	1	0	None	Tp1_Cage5	Tp1_None	Natural	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	Low	Persistent
LKMB005_019	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_019_S19_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_019_S19_R2_001.fastq.gz	07-21--MP6-1	LKMB005_019	Pilot	E2	21-Jul	MP6-1	Mouse	Cage6	E2_Cage6	E2_Cage6_Tp1	Timepoint 1	1	0	None	Tp1_Cage6	Tp1_None	Natural	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
LKMB005_020	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_020_S20_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_020_S20_R2_001.fastq.gz	07-21--MP6-2	LKMB005_020	Pilot	E2	21-Jul	MP6-2	Mouse	Cage6	E2_Cage6	E2_Cage6_Tp1	Timepoint 1	1	0	None	Tp1_Cage6	Tp1_None	Natural	Infected	Pre-Infection	Pre-Infection	Pre-Infection	Day of Abx Start (2wk pre-infection)	Pre-Infection	Pre-Infection	Pre-Infection	High	Persistent
