"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","LCM","Date","Treatment","LCMSample","Mouse","MouseNO","MouseSampleNumber","LCM.Spots","Epi.Stroma","DNA.RNA","Infected","E2","Disease","Disease2","Estrus.Stage","Location","DisTx","TxEs","Viral.Copy.Number..per.5ng.total.DNA.","Mouse.ID","ViralCopyNumberHighLow","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus"
"136","0a36b4a346765441a0c61eafc49f02ab","LK16S004-343",0.875888463641334,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-343_S242_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-343_S242_R2_001.fastq.gz","LCM37","8/12/21","MmuPV1 + 6m E2","MES-43-18_08_2E","M.18",18,2,117,"Epi","DNA","MmuPV","E2","High CIN (CIN2-3)","High CIN","Metestrus/Diestrus","Vaginal wall","MmuPV1 + 6m E2 -High CIN","MmuPV1 + 6m E2 -Metestrus/Diestrus","1.86E+06","43-18","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"124","0a36b4a346765441a0c61eafc49f02ab","LK16S004-344",0.821099039521335,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-344_S243_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-344_S243_R2_001.fastq.gz","LCM38","8/12/21","MmuPV1 + 6m E2","MES-43-19_68_1E","M.19",19,1,81,"Epi","DNA","MmuPV","E2","High CIN (at least CIN3)","High CIN","Diestrus","Ectocervix","MmuPV1 + 6m E2 -High CIN","MmuPV1 + 6m E2 -Diestrus","9.12E+06","43-19","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"2939","f36c161e4341ca7c0fd5d7615f736706","LK16S004-328",0.642250788260975,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-328_S227_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-328_S227_R2_001.fastq.gz","LCM22","8/11/21","Mock + 6m E2","MES-43-39_63_2E","M.39",39,2,24,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus ","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus ","1.65E+01","43-39","Mock","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2922","f36c161e4341ca7c0fd5d7615f736706","LK16S004-324",0.627002288329519,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-324_S223_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-324_S223_R2_001.fastq.gz","LCM18","8/11/21","Mock + 6m E2","MES-43-37_58_2E","M.37",37,2,17,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus/Diestrus","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus/Diestrus","1.30E+01","43-37","Mock","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2933","f36c161e4341ca7c0fd5d7615f736706","LK16S004-327",0.624892210405289,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-327_S226_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-327_S226_R2_001.fastq.gz","LCM21","8/11/21","Mock + 6m E2","MES-43-39_63_1E","M.39",39,1,20,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus ","Ectocervix","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus ","1.65E+01","43-39","Mock","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2911","f36c161e4341ca7c0fd5d7615f736706","LK16S004-333",0.61397223466189,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-333_S232_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-333_S232_R2_001.fastq.gz","LCM27","8/11/21","Mock + 6m E2","MES-43-43_68_1E","M.43",43,1,17,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus ","Ectocervix","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus ","N/A","43-43","","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2993","fb6f595e2fac8ea216d97877a9f6f93e","LK16S004-337",0.606248950109189,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-337_S236_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-337_S236_R2_001.fastq.gz","LCM31","8/12/21","MmuPV1 + 6m E2","MES-43-15_43_1E","M.15",15,1,254,"Epi","DNA","MmuPV","E2","Low CIN (CIN 1-2)","Low CIN","Metestrus/Diestrus","Cervicovaginal Fornix","MmuPV1 + 6m E2 -Low CIN","MmuPV1 + 6m E2 -Metestrus/Diestrus","3.97E+06","43-15","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter"
"1290","512699b99a04e60a592db5b38aaa91d6","LK16S004-342",0.601669497343981,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-342_S241_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-342_S241_R2_001.fastq.gz","LCM36","8/12/21","MmuPV1 + 6m E2","MES-43-18_08_1E","M.18",18,1,93,"Epi","DNA","MmuPV","E2","SCC","SCC","Metestrus/Diestrus","Ectocervix","MmuPV1 + 6m E2 -SCC","MmuPV1 + 6m E2 -Metestrus/Diestrus","1.86E+06","43-18","High","Persistent","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemella"
"2931","f36c161e4341ca7c0fd5d7615f736706","LK16S004-313",0.59360076408787,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-313_S212_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-313_S212_R2_001.fastq.gz","LCM07","8/10/21","Mock","MES-43-35_23_1E","M.35",35,1,19,"Epi","DNA","Mock","none","No disease","No disease","Estrus","Ectocervix","Mock -No disease","Mock -Estrus","N/A","43-35","","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2924","f36c161e4341ca7c0fd5d7615f736706","LK16S004-311",0.564877576428275,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-311_S210_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-311_S210_R2_001.fastq.gz","LCM05","8/10/21","Mock","MES-43-34_43_1E","M.34",34,1,13,"Epi","DNA","Mock","none","No disease","No disease","Metestrus/Diestrus","Ectocervix","Mock -No disease","Mock -Metestrus/Diestrus","N/A","43-34","","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
