sample-id	forward-absolute-filepath	reverse-absolute-filepath	SampleNO	Ex	ShortID	FullID	MouseID	Cage	Group	Infected	ABX	Timepoint	Tp.Inf.ABX.Group	LevageDate 	PostInfection(wk)	InfectStageML	PostABx(wk)	Notes 	ViralCopyNumber	ViralCopyNumberHighLow	DiseaseCINEndpoint 	DiseaseEndpointRanked	Cleared.PersistentAtEndpoint
LK16S009-216	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-216_S28_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-216_S28_L001_R2_001.fastq.gz	1	E4	MV-1	T1-M-24.A.1-B	M-24.A.1-B	Cage 24A	Mock None	Mock	None	1	T1 Mock None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	1.45E+03	Mock	Normal/Hyperplasia	None	Mock
LK16S009-217	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-217_S29_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-217_S29_L001_R2_001.fastq.gz	2	E4	MV-2	T1-M-24.A.2-B	M-24.A.2-B	Cage 24A	Mock None	Mock	None	1	T1 Mock None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	5.57E+02	Mock	Normal/Hyperplasia	None	Mock
LK16S009-218	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-218_S30_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-218_S30_L001_R2_001.fastq.gz	3	E4	MV-3	T1-M-24.B.1-B	M-24.B.1-B	Cage 24B	Mock ABX	Mock	ABX	1	T1 Mock ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	5.61E+02	Mock	Normal/Hyperplasia	None	Mock
LK16S009-219	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-219_S31_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-219_S31_L001_R2_001.fastq.gz	4	E4	MV-4	T1-M-24.B.2-B	M-24.B.2-B	Cage 24B	Mock ABX	Mock	ABX	1	T1 Mock ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	5.74E+02	Mock	Normal	None	Mock
LK16S009-220	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-220_S32_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-220_S32_L001_R2_001.fastq.gz	5	E4	MV-5	T1-M-25.1-B	M-25.1-B	Cage 25	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	8.92E+05	High	CIN3	High	Persistent
LK16S009-221	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-221_S33_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-221_S33_L001_R2_001.fastq.gz	6	E4	MV-6	T1-M-25.2-B	M-25.2-B	Cage 25	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	6.70E+03	Low	CIN3	High	Persistent
LK16S009-222	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-222_S34_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-222_S34_L001_R2_001.fastq.gz	7	E4	MV-7	T1-M-25.3-B	M-25.3-B	Cage 25	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	2.51E+04	High	CIN3	High	Persistent
LK16S009-223	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-223_S35_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-223_S35_L001_R2_001.fastq.gz	8	E4	MV-8	T1-M-25.4-B	M-25.4-B	Cage 25	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	1.48E+03	Low			
LK16S009-224	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-224_S36_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-224_S36_L001_R2_001.fastq.gz	9	E4	MV-9	T1-M-26.1-B	M-26.1-B	Cage 26	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	1.04E+06	High	CIN3	High	Persistent
LK16S009-225	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-225_S37_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-225_S37_L001_R2_001.fastq.gz	10	E4	MV-10	T1-M-26.2-B	M-26.2-B	Cage 26	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	1.47E+06	High	At least CIN3	High	Persistent
LK16S009-226	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-226_S38_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-226_S38_L001_R2_001.fastq.gz	11	E4	MV-11	T1-M-26.3-B	M-26.3-B	Cage 26	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	3.17E+05	High	CIN3	High	Persistent
LK16S009-227	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-227_S39_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-227_S39_L001_R2_001.fastq.gz	12	E4	MV-12	T1-M-26.4-B	M-26.4-B	Cage 26	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	4.76E+03	Low	CIN3	High	Persistent
LK16S009-228	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-228_S40_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-228_S40_L001_R2_001.fastq.gz	13	E4	MV-13	T1-M-28.1-B	M-28.1-B	Cage 28	Infected None	Infected	None	1	T1 Infected None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	1.02E+06	High	CIN3	High	Persistent
LK16S009-229	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-229_S41_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-229_S41_L001_R2_001.fastq.gz	14	E4	MV-14	T1-M-28.2-B	M-28.2-B	Cage 28	Infected None	Infected	None	1	T1 Infected None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	2.18E+05	High	CIN3	High	Persistent
LK16S009-230	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-230_S42_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-230_S42_L001_R2_001.fastq.gz	15	E4	MV-15	T1-M-28.3-B	M-28.3-B	Cage 28	Infected None	Infected	None	1	T1 Infected None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	4.24E+05	High	At least CIN3	High	Persistent
LK16S009-231	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-231_S43_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-231_S43_L001_R2_001.fastq.gz	16	E4	MV-16	T1-M-28.4-B	M-28.4-B	Cage 28	Infected None	Infected	None	1	T1 Infected None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	8.19E+05	High	CIN3	High	Persistent
LK16S009-232	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-232_S44_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-232_S44_L001_R2_001.fastq.gz	17	E4	MV-17	T1-M-29.1-B	M-29.1-B	Cage 29	Infected None	Infected	None	1	T1 Infected None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	1.37E+03	Low	CIN3	High	Persistent
LK16S009-233	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-233_S45_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-233_S45_L001_R2_001.fastq.gz	18	E4	MV-18	T1-M-29.2-B	M-29.2-B	Cage 29	Infected None	Infected	None	1	T1 Infected None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	1.35E+03	Low	Normal/Hyperplasia	None	Persistent
LK16S009-234	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-234_S46_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-234_S46_L001_R2_001.fastq.gz	19	E4	MV-19	T1-M-29.3-B	M-29.3-B	Cage 29	Infected None	Infected	None	1	T1 Infected None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	4.72E+05	High	CIN3	High	Cleared
LK16S009-235	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-235_S47_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-235_S47_L001_R2_001.fastq.gz	20	E4	MV-20	T1-M-30.1-B	M-30.1-B	Cage 30	Infected None	Infected	None	1	T1 Infected None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	7.07E+05	High	At least CIN3	High	Persistent
LK16S009-236	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-236_S48_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-236_S48_L001_R2_001.fastq.gz	21	E4	MV-21	T1-M-30.2-B	M-30.2-B	Cage 30	Infected None	Infected	None	1	T1 Infected None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	1.01E+05	High	CIN3	High	Persistent
LK16S009-237	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-237_S49_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-237_S49_L001_R2_001.fastq.gz	22	E4	MV-22	T1-M-30.3-B	M-30.3-B	Cage 30	Infected None	Infected	None	1	T1 Infected None	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	1.77E+04	Low	At least CIN3	High	Persistent
LK16S009-238	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-238_S50_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-238_S50_L001_R2_001.fastq.gz	23	E4	MV-23	T1-M-31.1-B	M-31.1-B	Cage 31	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	4.78E+05	High	At least CIN3	High	Persistent
LK16S009-239	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-239_S51_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-239_S51_L001_R2_001.fastq.gz	24	E4	MV-24	T1-M-31.2-B	M-31.2-B	Cage 31	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	1.93E+06	High	At least CIN3	High	Persistent
LK16S009-240	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-240_S52_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-240_S52_L001_R2_001.fastq.gz	25	E4	MV-25	T1-M-31.3-B	M-31.3-B	Cage 31	Infected ABX	Infected	ABX	1	T1 Infected ABX	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"	4.83E+04	Low	At least CIN3	High	Persistent
LK16S009-241	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-241_S53_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-241_S53_L001_R2_001.fastq.gz	26	E4	MV-26	T1-PBS	PBS	Cage 	PBS	PBS	PBS	1	T1 PBS	1.6.21	4.5	Early Infection 5 & 7 wpi	0	"1st CVL, pre-Abx"					
LK16S009-242	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-242_S54_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-242_S54_L001_R2_001.fastq.gz	27	E4	MV-27	T2-M-24.A.1-B	M-24.A.1-B	Cage 24A	Mock None	Mock	None	2	T2 Mock None	1.25.21	7	Early Infection 5 & 7 wpi	2		5.69E+03	Mock	Normal/Hyperplasia	None	Mock
LK16S009-243	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-243_S55_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-243_S55_L001_R2_001.fastq.gz	28	E4	MV-28	T2-M-24.A.2-B	M-24.A.2-B	Cage 24A	Mock None	Mock	None	2	T2 Mock None	1.25.21	7	Early Infection 5 & 7 wpi	2		3.94E+02	Mock	Normal/Hyperplasia	None	Mock
LK16S009-244	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-244_S56_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-244_S56_L001_R2_001.fastq.gz	29	E4	MV-29	T2-M-24.B.1-B	M-24.B.1-B	Cage 24B	Mock ABX	Mock	ABX	2	T2 Mock ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		1.75E+02	Mock	Normal/Hyperplasia	None	Mock
LK16S009-245	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-245_S57_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-245_S57_L001_R2_001.fastq.gz	30	E4	MV-30	T2-M-24.B.2-B	M-24.B.2-B	Cage 24B	Mock ABX	Mock	ABX	2	T2 Mock ABX	1.25.21	7	Early Infection 5 & 7 wpi	2		3.25E+03	Mock	Normal	None	Mock
